ID,B1,B2,B3,B4,B5,B6,B7,NDWI,NDVI,MNDWI,NDBI,elevation,LULC
1776_0,799.5,1309,1734.5,3108,3862.5,3000,3152.5,-0.108241876,0.283634486,-0.493763898,0.108241876,1544,4
1780_0,578,799,1094,2435,2869,2975,2297,-0.081825038,0.379994333,-0.56434024,0.081825038,2039,4
1789_0,522,760,847,2303,2221,2955,1508,0.018125553,0.462222222,-0.490103992,-0.018125553,1140,4
1800_0,904.5,1164,1211.5,2669,2595,2995,1749.5,0.014057751,0.375595928,-0.380686353,-0.014057751,107,4
1801_0,836,1157,1363,2251,2794,2950,2230,-0.107631318,0.245711123,-0.414325487,0.107631318,98,4
1803_0,447,628,678,2419,2481,2980,1418,-0.012653061,0.562156926,-0.596011579,0.012653061,567,4
1804_0,711.5,1009.5,1146,2521,2470.5,3017.5,1732,0.010117199,0.374965912,-0.419827586,-0.010117199,1569,4
1807_0,542,783,934,2726,2666,2965,1730,0.011127596,0.489617486,-0.545955349,-0.011127596,2680,4
1808_0,564,732,745,2524,2255,2985,1150,0.056287926,0.54420312,-0.50987613,-0.056287926,85,4
1811_0,756,934,1117,2642,2924,2970,2087,-0.05066475,0.405693003,-0.515811301,0.05066475,106,4
1812_0,542,728,789,1740,1709,3029.5,1040.5,0.008988112,0.37603796,-0.402544112,-0.008988112,807,4
1813_0,684,932,1172,2190,2831,3039,1964,-0.127663812,0.302795955,-0.504650545,0.127663812,1650,4
1814_0,752,970,1048,2214,2324,2892,1467,-0.024239753,0.357449418,-0.411050395,0.024239753,603,4
1821_0,723,887,952,2189,2210,2965,1536,-0.004773812,0.393823623,-0.427187601,0.004773812,133,4
1823_0,512,809,916,2559,3351,2908,2262,-0.134010152,0.472805755,-0.611057692,0.134010152,1733,4
1824_0,530.5,758.5,927,2058.5,1894.5,3027,1227.5,0.041487478,0.378998493,-0.428194497,-0.041487478,1514,4
1825_0,719.5,1036,1286,2741,3173.5,2965,2426.5,-0.07312537,0.36131115,-0.507780021,0.07312537,1027,4
1833_0,297,472,462,2087,1805,2899.5,950.5,0.072456321,0.637504904,-0.585419412,-0.072456321,1842,4
1845_0,910,1267,1363,2582,2782,3005,1983,-0.037285608,0.308998733,-0.374166461,0.037285608,120,4
1856_0,568,738.5,846.5,1629,1887.5,2950,1294,-0.073510593,0.316097758,-0.437547601,0.073510593,661,4
1857_0,959.5,1149,1254,2481.5,2124.5,2944.5,1552,0.077507599,0.328603935,-0.297999084,-0.077507599,97,4
1859_0,959,1156,1161,1825,2132,2965,1830,-0.077584028,0.222371065,-0.296836983,0.077584028,99,4
1861_0,633,867.5,788.5,2426,1821.5,2977.5,1197.5,0.142319011,0.509410484,-0.354778728,-0.142319011,146,4
1863_0,705,1152,1517,2378,2736,3077,2063,-0.070003911,0.221052632,-0.407407407,0.070003911,1280,4
1864_0,1062,1325,1443,2357,2613,2975,1956,-0.051509054,0.240526316,-0.327069578,0.051509054,104,4
1871_0,614.5,880,1194.5,2558.5,3487.5,2985,2280.5,-0.153655309,0.363442579,-0.597023469,0.153655309,1776,4
1872_0,472.5,717.5,869.5,2267,1968.5,2950,1348.5,0.070475741,0.445560338,-0.465748325,-0.070475741,2191,4
1876_0,669,831,900,2258,2634,2934,1791,-0.07686018,0.430018999,-0.52034632,0.07686018,438,4
1879_0,464.5,658,739,1974,2125.5,2886,1419,-0.036955726,0.455215628,-0.527213939,0.036955726,1183,4
1889_0,866,1304,1703,2444,3605,3154,3318,-0.191932551,0.178683386,-0.468730902,0.191932551,2839,4
1890_0,543,779,941,3023,2683,2892,1779,0.0595864,0.525227043,-0.549971115,-0.0595864,1697,4
1895_0,619.5,570.5,475,960.5,622,2928.5,301.5,0.213902054,0.338209683,-0.043186583,-0.213902054,223,4
1897_0,976,1287,1637,2401,2874,3091,2382,-0.089668246,0.189202576,-0.381398702,0.089668246,1595,4
1903_0,650.5,841,1012.5,2055.5,1824.5,2942,1456,0.059536082,0.339960887,-0.368973926,-0.059536082,1456,4
1906_0,568,714,783,1701,1880,2908,1194,-0.049986037,0.369565217,-0.449498843,0.049986037,910,4
1908_0,1007,1362,1631,2471,3126,2980,2593,-0.117026979,0.204778157,-0.393048128,0.117026979,85,4
1914_0,767,988,1134,2669,2909,2950,1967,-0.043026174,0.403628714,-0.49294329,0.043026174,371,4
1918_0,384,524.5,563.5,1699.5,1489,2889,938.5,0.066018504,0.501988511,-0.479016638,-0.066018504,1657,4
1919_0,1197,1481,1537,2310,2767,2965,2128,-0.090013788,0.200935794,-0.302730697,0.090013788,73,4
1920_0,734,1043,1326,2734,3124,2980,2230,-0.066575623,0.34679803,-0.499400048,0.066575623,1024,4
1925_0,586,767.5,693.5,2393,1937.5,2965,1047,0.105184159,0.550623684,-0.432532348,-0.105184159,104,4
1926_0,781.5,1078,1289,2231,2523,3000,2072,-0.06142196,0.267613636,-0.401277423,0.06142196,133,4
1935_0,974,1454,2010,3229,4166,2950,2985,-0.126707235,0.232677992,-0.482562278,0.126707235,2112,4
1938_0,427,620,712.5,2084.5,1779,3015,1070,0.079073379,0.490525563,-0.483117966,-0.079073379,1736,4
1939_0,991,1377.5,1759.5,3094.5,3433,3034,2819.5,-0.051857526,0.275030902,-0.42729446,0.051857526,143,4
1941_0,849,1047,1164,2257,1902,2985,1493,0.085357057,0.319497223,-0.289928789,-0.085357057,96,4
1942_0,588,892,1018.5,2605.5,2355.5,3000,1590,0.050393066,0.437913907,-0.450654349,-0.050393066,1390,4
1954_0,591,828,1027,2536,2845,3000,1935,-0.057424271,0.423519506,-0.54914239,0.057424271,2665,4
1959_0,979.5,1213,1360,2381.5,2282,2977.5,1601.5,0.021335907,0.273018843,-0.305865522,-0.021335907,89,4
1961_0,590,778,867,2124,1975,2970,1307,0.036350329,0.420260782,-0.434798402,-0.036350329,540,4
1962_0,307,343.5,325.5,801,952.5,2858.5,621,-0.086398631,0.422103862,-0.469907407,0.086398631,2510,4
1978_0,529,775,771,2400,2022,2985,1193,0.085481682,0.51371807,-0.445834823,-0.085481682,692,4
1982_0,683.5,946,987.5,2131,2071.5,2957.5,1432,0.014158239,0.3666827,-0.372990886,-0.014158239,112,4
1985_0,1083.5,1339.5,1400,2280,2328.5,2972.5,1571.5,-0.010524032,0.239130435,-0.269629226,0.010524032,74,4
1986_0,732,1069,1422,2925.5,3532,3022,2764,-0.093921796,0.345830937,-0.535318409,0.093921796,1753,4
1987_0,646,771,801,2455,1895,2985,1149,0.128735632,0.507985258,-0.421605401,-0.128735632,116,4
1995_0,633,893,923,2324,2319,2965,1386,0.00107689,0.431475208,-0.443960149,-0.00107689,772,4
1999_0,462,588,505.5,2130,1457,2915,703,0.187621968,0.616391577,-0.424938875,-0.187621968,570,4
2003_0,610.5,864.5,973,1890.5,1826,2982.5,1223,0.017355038,0.320412083,-0.357368519,-0.017355038,154,4
2009_0,764.5,959,997,2143,1673,2944.5,1066,0.123165618,0.364968153,-0.271276596,-0.123165618,84,4
2012_0,666.5,934.5,1049.5,2267.5,2674,2944.5,1989.5,-0.082262471,0.367199276,-0.482056256,0.082262471,1421,4
2021_0,1035,1415,1543,2401,2599,2934,1687,-0.0396,0.217545639,-0.294967613,0.0396,118,4
2024_0,472.5,625,645,1741,1401,2960,797,0.10821133,0.459346186,-0.383020731,-0.10821133,748,4
2031_0,885,1083,1231.5,2438,2985.5,2952,2107,-0.100949571,0.328791388,-0.467617058,0.100949571,134,4
2032_0,367,662,473,3859,2049,2939,914,0.306364252,0.781625115,-0.511619329,-0.306364252,1604,4
2033_0,609.5,873,944.5,2264,2132.5,3022,1289.5,0.029910156,0.411251364,-0.419065047,-0.029910156,744,4
2041_0,660,911,1138,2408,3164,2980,2328,-0.135678392,0.358150028,-0.552883436,0.135678392,1382,4
2043_0,1071,1162,1269,2310,2069,2970,1440,0.055035396,0.29086337,-0.280718044,-0.055035396,80,4
2045_0,765,964,1011,2274,2092,2965,1499,0.041685754,0.384474886,-0.369109948,-0.041685754,97,4
2048_0,250,280,196,1199,737,2897,296,0.238636364,0.718996416,-0.449360865,-0.238636364,1422,4
2049_0,362.5,451.5,392,1867.5,1342,2905,657.5,0.163732669,0.65302058,-0.496515194,-0.163732669,875,4
2066_0,581,852,1187,2455,2856,2985,2218,-0.075503672,0.348160351,-0.540453074,0.075503672,1698,4
2071_0,616,793,878,2078,2078.5,2990,1388.5,-1.20E-04,0.405953992,-0.447675431,1.20E-04,954,4
2078_0,1095,1124,1305,2460,2242,2980,1386,0.04636325,0.306772908,-0.332144979,-0.04636325,87,4
2081_0,609,821,847,2468,2160,2918,1141,0.066551426,0.488989442,-0.449178128,-0.066551426,266,4
2082_0,919,1342,1821,2941,3227,3127,2248,-0.046368353,0.235195296,-0.412562924,0.046368353,1540,4
2089_0,960.5,1328.5,1679,2600,3338,3076.5,2861.5,-0.124284271,0.215237205,-0.430622522,0.124284271,626,4
2092_0,634,910,1205,2570,3292,3025,2354,-0.123166155,0.361589404,-0.566872918,0.123166155,1043,4
2095_0,542,770,849,2172,2263.5,3002.5,1438,-0.020629016,0.437934459,-0.492335586,0.020629016,1317,4
2096_0,937,1030.5,977.5,2096,1384,2936.5,808,0.204597701,0.363917358,-0.146407124,-0.204597701,81,4
2098_0,1024.5,1181.5,1253.5,2339.5,2325,2950,1437.5,0.003108586,0.302254384,-0.326108655,-0.003108586,74,4
2107_0,455,704.5,773,2763,2278,2908,1471,0.096211069,0.562782805,-0.527577536,-0.096211069,1901,4
2113_0,550,731,890,2521,2510,2908,1687,0.002186444,0.478158898,-0.548904659,-0.002186444,1323,4
2114_0,666,898,890,2434,2268,2950,1369,0.035304126,0.464500602,-0.432722678,-0.035304126,648,4
2116_0,639.5,885.5,1143.5,2064,2751,3015,2384,-0.142679128,0.286983632,-0.512993263,0.142679128,475,4
2123_0,953.5,1203.5,1269,2533.5,2460.5,2959.5,1817,0.014617541,0.332544379,-0.343067686,-0.014617541,113,4
2124_0,1088.5,1331,1514.5,2343.5,2748,2997.5,2133.5,-0.079446136,0.214878175,-0.347389066,0.079446136,135,4
2126_0,1095.5,1410.5,1521,2393.5,3124.5,2975,2201,-0.132475535,0.222889258,-0.377949283,0.132475535,109,4
2128_0,588.5,855,1195,2197,2405.5,2859,1519.5,-0.045301467,0.295400943,-0.475540561,0.045301467,3000,4
2129_0,687,885,958,2818,2224,2995,1489,0.117810393,0.492584746,-0.430685108,-0.117810393,148,4
2130_0,430.5,567.5,534.5,2926,2120.5,2899.5,1026,0.159615575,0.691085103,-0.577752976,-0.159615575,1102,4
2137_0,618,857.5,806.5,2062,1561.5,2962.5,883.5,0.138126121,0.437685201,-0.291029351,-0.138126121,75,4
2140_0,645,948,1137,2866,2876,2934,1805,-0.001741553,0.431926055,-0.5041841,0.001741553,948,4
2141_0,816,1245,1633,2670.5,3162,3074.5,2411.5,-0.084269181,0.24108284,-0.434989789,0.084269181,1551,4
2146_0,1143,1607,1956,2558.5,3512.5,3083.5,3181.5,-0.157140504,0.133458855,-0.372204317,0.157140504,1995,4
2149_0,743,997.5,1142,2294,2668,3024.5,1807,-0.075372834,0.335273574,-0.455735916,0.075372834,593,4
2150_0,875,1055,1145,1996,1871,2965,1336,0.0323248,0.270932824,-0.278879016,-0.0323248,97,4
2151_0,1043,1111,1106,2242,2381,2960,1891,-0.030067056,0.339307049,-0.363688431,0.030067056,89,4
