LULC,NDWI,NDVI,B1,B2,B3,B4,B5,B6,MNDWI,B7,NDBI,system:index
3,-0.1506533435818601,0.32374962563641807,503.0,785.0,1129.0,2210.0,2994.0,2902.0,-0.5845461762370998,2092.0,0.1506533435818601,40_0
1,0.21230307576894222,0.6659793814432989,293.0,382.0,324.0,1616.0,1050.0,2864.0,-0.4664804469273743,530.0,-0.21230307576894222,41_0
3,-0.18212542245587682,0.20398009950248755,327.0,298.5,360.0,544.5,787.0,2731.0,-0.4500230308613542,482.0,0.18212542245587682,42_0
1,0.3517465475223396,0.7324310255075481,291.0,313.0,257.0,1664.0,798.0,2864.0,-0.4365436543654365,325.0,-0.3517465475223396,43_0
4,-0.0028544243577545195,0.4210169491525424,631.0,959.0,1067.5,2620.0,2635.0,2926.0,-0.46633277685030605,1645.0,0.0028544243577545195,44_0
7,0.6627839254513687,-0.0349839445665033,1627.0,1639.0,1531.0,1427.5,289.5,2606.5,0.6997666580243713,273.5,-0.6627839254513687,45_0
1,0.2338466985307134,0.3712374581939799,805.0,829.5,799.0,1742.5,1082.0,2792.5,-0.13209521318336384,678.0,-0.2338466985307134,46_0
1,0.1895424836601307,0.5925,148.5,174.0,163.0,637.0,434.0,2827.5,-0.4276315789473684,208.5,-0.1895424836601307,47_0
3,-0.020843550760176556,0.5591565794611479,370.5,509.5,564.5,1996.5,2081.5,2864.5,-0.6067155538402161,1179.5,0.020843550760176556,48_0
7,0.8188781014023733,-0.40693973021930674,20000.0,20000.0,20000.0,8430.5,839.5,2603.5,0.9194318481729408,710.0,-0.8188781014023733,49_0
1,0.08814204185161699,0.5193908269877812,547.0,686.0,678.5,2145.0,1797.5,2910.5,-0.4475538554459432,947.0,-0.08814204185161699,50_0
1,0.37961335676625657,0.7551704863051985,162.0,174.0,109.5,785.0,353.0,2815.5,-0.3396584440227704,150.0,-0.37961335676625657,51_0
1,0.3952277657266811,0.7822111388196176,224.0,288.5,196.5,1608.0,697.0,2855.5,-0.41451040081177065,296.5,-0.3952277657266811,52_0
1,0.1737512684631864,0.7212301587301587,265.0,420.5,421.5,2602.5,1832.0,2816.0,-0.6266370699223085,934.5,-0.1737512684631864,53_0
4,0.18026114973715449,0.7180942977042706,321.0,387.5,285.5,1740.0,1208.5,2902.5,-0.5144110275689223,580.0,-0.18026114973715449,54_0
8,0.19773442416614223,0.5744540039708802,504.0,670.0,643.0,2379.0,1593.5,2933.5,-0.4079964656505412,863.5,-0.19773442416614223,55_0
4,-0.01810436634717785,0.4980797636632201,556.5,767.0,849.5,2535.5,2629.0,2939.5,-0.5482921083627798,1572.0,0.01810436634717785,56_0
1,0.19737096462400927,0.7009474117808595,434.0,653.5,544.5,3097.0,2076.0,2923.5,-0.521157721194358,936.0,-0.19737096462400927,57_0
1,0.005652173913043478,0.23508209851822187,1158.0,1346.0,1432.5,2313.0,2287.0,2795.5,-0.25901458849435727,2092.0,-0.005652173913043478,58_0
7,-0.1105424769703173,0.13224755700325733,332.5,310.0,333.0,434.5,542.5,2708.5,-0.2727272727272727,461.5,0.1105424769703173,59_0
